live nearby 3
explaining menu 3
lot potential 3
decided grab 3
worth drive 3
husband split 3
birthday party 3
kids meals 3
previous reviewer 3
room temp 3
son ordered 3
drunk bread 3
agree reviewers 2
flat bread 2
minutes acknowledged 2
staff accommodating 2
hand cut 2
part restaurant 2
found yelp 2
25 gift 2
tv show 2
rest menu 2
nice dinner 2
seated bar 2
paying full 2
menu item 2
foot traffic 2
make matters 2
husband ate 2
half home 2
glad found 2
ate bar 2
ate dinner 2
early evening 2
bread stick 2
staff nice 2
sat window 2
husband likes 2
small plate 2
reason give 2
plan return 2
continue back 2
kids menu 2
worth hype 2
enjoy company 2
hard pressed find 2
positive experience 2
minutes late 2
stopped quick 2
minutes pass 2
complimentary bread 2
full disclosure 2
nice kick 2
decided sit bar 2
mind spending 2
big party 2
long day work 2
brother ordered 2
wife likes 2
sitting bar 2
customer satisfaction 2
plenty tables 2
bit loud 2
chef special 2
weren impressed 2
full happy 2
staff incredibly 2
visited restaurant 2
serve bread 2
ll eat 2
ll return 2
ladies room 2
wasn big 2
chef carla 2
people walking 2
stopped dinner 2
children menu 2
pay full 2
stopped today 2
leaves lot 1
listed menu 1
closer house 1
mother day 1
dinner rush 1
piece bread 1
changed menu 1
minutes closing 1
menu description 1
2nd visit 1
back future 1
pleasant experience 1
chance check 1
live close 1
big share 1
cold cut 1
menu isn 1
enter restaurant 1
previous visit 1
big fans 1
give break 1
drink specials 1
won regret 1
chose sit 1
feel uncomfortable 1
minutes early 1
wasn heavy 1
wife ate 1
including tip 1
weeks advance 1
live hype 1
nice addition 1
staff pleasant 1
wont disappointed 1
amount food 1
heading back 1
made eye 1
restaurant half full 1
pre dinner 1
surprised find 1
opposite side 1
small piece 1
special evening 1
cut fork 1
worth mentioning 1
special day 1
celebrity chef 1
25 minutes 1
middle desert 1
early dinner 1
food runner 1
short drive 1
ordered side 1
extremely accommodating 1
happy birthday 1
earned money 1
minutes drink 1
served hot 1
tough find 1
minutes reservation 1
tables open 1
main dishes 1
negative review 1
dinner plans 1
happy report 1
eat free 1
smaller expected 1
personal preference 1
fairly small 1
finish half 1
worth shot 1
middle restaurant 1
husband birthday 1
fill bread 1
bite eat 1
feel cooking 1
matters worse 1
checking yelp 1
seat bar 1
food prepared 1
bit small 1
burnt bottom 1
drink bar 1
small children 1
ill back 1
close live 1
ate bite 1
coffee dessert 1
previously frozen 1
worst customer 1
bad review 1
real treat 1
food arrives 1
servers nice 1
staff extremely 1
disappointing experience 1
boyfriend decided 1
time finding 1
minutes drink order 1
sit window 1
decided give chance 1
close work 1
eat day 1
small amount 1
compliments chef 1
