word	sentiment
antithetical	-0.458
antiviral	-0.082
antler	-0.104
antsy	-0.102
anus	-0.306
anvil	-0.24
anxiety	-0.806
anxietyattack	-0.7
anxious	-0.306
anxiousness	-0.431
anytime	0.25
aorta	-0.104
aortic	-0.128
apace	0.072
apache	0.374
apartment	0.438
apartments	0.408
apathetic	-0.624
apathy	-0.632
ape	0.096
aperture	0.224
apex	0.14
aphid	-0.224
aphrodisiac	0.5
apiece	-0.122
aplomb	0.0
apocalypse	-0.9
apocalyptic	-0.654
apologetic	-0.042
apologist	-0.188
apologize	0.102
apology	0.142
apostasy	-0.224
apostate	-0.316
apostle	0.292
apostolic	0.184
apostrophe	-0.062
apothecary	0.122
appall	-0.75
appalled	-0.612
appalling	-0.68
apparatus	-0.25
apparel	0.396
apparent	-0.054
apparently	0.062
apparition	-0.188
appeal	0.444
appear	0.47
appearance	0.338
appease	0.266
appellant	-0.346
append	0.146
appendage	-0.542
appendectomy	-0.646
appendicitis	-0.938
appendix	-0.27
appetite	0.408
appetizer	0.51
appetizing	0.612
applaud	0.73
applause	0.583
apple	0.622
apple juice	0.53
applejack	0.208
applesauce	0.5
appliance	0.164
appliances	0.188
applicability	0.354
applicable	-0.062
applicant	0.224
application	0.292
apply	0.224
appoint	0.25
appointment	0.376
appointments	0.49
apportion	0.354
apportionment	0.104
appraisal	-0.166
appraise	0.354
appreciable	0.653
appreciate	0.833
appreciated	0.82
appreciates	0.53
appreciation	0.653
appreciative	0.714
apprehend	0.042
apprehension	-0.486
apprehensive	-0.188
apprentice	0.23
apprenticeship	0.624
approach	0.097
approaching	0.48
approbate	0.292
approbation	0.584
appropriate	0.333
appropriation	0.02
approval	0.667
approve	0.667
approved	0.666
approvement	0.76
approving	0.834
approximate	0.102
approximately	0.244
approximating	0.166
approximation	0.164
appurtenances	0.146
apricot	0.416
apron	0.164
apt	0.278
aptitude	0.5
aqua	0.312
aquamarine	0.458
aquarium	0.326
aquatic	0.354
aqueduct	0.102
aqueous	-0.142
arable	0.02
arbiter	0.122
arbitrary	-0.208
arbitrate	-0.06
arbitration	0.174
arbitrator	-0.23
arbor	0.166
arc	0.104
arcade	0.352
arcane	0.0
arch	0.0
archaeological	0.48
archaeologist	0.104
archaeology	0.192
archaic	-0.458
archangel	0.674
archbishop	0.244
archdiocese	-0.2
archduke	-0.084
arched	0.164
archer	0.146
archery	0.188
archetype	-0.104
archipelago	0.49
architect	0.552
architectural	0.458
architecture	0.64
archive	-0.124
arctic	0.23
ardent	0.388
ardor	0.0
arduous	-0.312
area	-0.02
arena	0.02
areola	-0.166
areyoukidding	-0.142
areyoukiddingme	-0.27
argent	0.188
argh	-0.48
arghh	-0.416
arghhhh	-0.5
argue	-0.556
argument	-0.762
argumentation	-0.042
argumentative	-0.1
arguments	0.082
arid	-0.354
arise	0.5
aristocracy	0.376
aristocrat	0.166
aristocratic	-0.102
arithmetic	-0.094
ark	-0.208
arm	0.104
armada	-0.184
armament	-0.604
armaments	-0.616
armature	0.02
armchair	0.292
armed	-0.624
armor	-0.062
armored	-0.062
armory	-0.104
armpit	-0.434
arms	-0.072
army	-0.166
aroma	0.646
aromatherapy	0.694
arousal	0.582
arouse	0.48
aroused	0.416
arraignment	-0.188
arrange	0.48
arranged	0.396
arrangement	0.25
array	0.042
arrears	-0.428
arrest	-0.514
arrhythmia	-0.47
arrival	0.356
arrive	0.674
arrived	0.5
arrogance	-0.714
arrogant	-0.611
arrow	-0.122
arsehole	-0.448
arseholes	-0.624
arsenal	-0.27
arsenic	-0.438
arson	-0.734
arsonist	-0.304
art	0.0
arterial	-0.208
artery	-0.208
artful	0.542
arthritis	-0.78
arthropod	-0.312
artichoke	0.166
article	0.188
articles	0.104
articulate	0.354
articulation	-0.042
artifact	0.02
artifice	-0.368
artificial	-0.097
artillery	-0.3
artisan	0.562
artist	0.604
artiste	0.688
artistic	0.604
artistry	0.646
artists	0.592
artwork	0.792
arty	-0.02
asap	0.142
asbestos	-0.286
ascend	0.66
ascendancy	0.448
ascendant	0.312
ascending	0.652
ascension	0.53
ascent	0.51
ascertain	0.12
ascertained	0.062
ascetic	-0.124
ash	-0.48
ashamed	-0.819
ashes	-0.346
ashtray	-0.188
asinine	-0.142
ask	0.062
asleeep	-0.02
asleep	0.208
asp	-0.124
asparagus	-0.062
aspartame	-0.062
aspect	-0.042
aspects	-0.122
aspen	-0.042
asphalt	-0.042
asphyxia	-0.604
asphyxiation	-0.882
aspiration	0.408
aspire	0.624
aspirin	-0.042
aspiring	0.688
ass	-0.734
assail	-0.635
assailant	-0.632
assassin	-0.854
assassinate	-0.898
assassination	-0.834
assault	-0.73
assay	0.266
assemblage	-0.142
assemble	0.084
assembled	0.326
assembly	0.396
assemblyman	-0.14
assent	0.23
assert	0.5
asserting	0.388
assertion	0.48
assertive	0.438
assess	0.396
assessment	0.5
assessor	0.102
asset	0.594
assets	0.334
asshole	-0.734
assign	0.244
assignee	0.02
assignment	-0.034
assimilate	0.118
assimilation	-0.142
assist	0.46
assistance	0.175
assistant	0.048
associate	0.25
association	0.25
assorted	0.204
assortment	0.388
assuage	0.49
assume	0.396
assumed	0.224
assuming	0.48
assumption	-0.042
assurance	0.694
assure	0.302
assured	0.756
assuredly	0.431
asterisk	0.082
asteroid	-0.14
asteroids	-0.278
asthma	-0.604
asthmatic	-0.542
astigmatism	-0.572
astonish	0.572
astonished	0.02
astonishing	0.688
astonishingly	0.654
astonishment	0.36
astound	0.458
astral	0.208
astray	-0.804
astringent	-0.368
astrologer	0.188
astrology	0.27
astronaut	0.584
astronomer	0.5
astronomical	0.2
astronomy	0.226
astute	0.552
asunder	-0.584
asylum	-0.186
asymmetric	0.16
asymmetry	-0.048
asymptotic	-0.042
atelier	-0.02
atheism	-0.448
atheistic	-0.254
atherosclerosis	-0.5
athlete	0.562
athletic	0.319
athleticism	0.5
athletics	0.662
atlas	0.062
atmosphere	0.208
atmospheric	0.062
atoll	-0.04
atom	0.02
atomic	-0.346
atone	-0.164
atonement	0.1
atpeace	0.448
atrium	-0.062
atrocious	-0.931
atrocity	-0.77
atrophy	-0.556
attach	0.04
attached	0.124
attachment	0.313
attack	-0.847
attacker	-0.63
attacking	-0.448
attain	0.111
attainable	0.52
attainment	0.389
attempt	0.25
attempted	0.188
attend	0.569
attendance	0.624
attendant	0.16
attention	0.48
attentionseeker	-0.266
attentionseekers	0.062
attentive	0.167
attenuate	-0.184
attenuated	-0.102
attenuation	-0.084
attest	-0.122
attestation	-0.532
attic	0.042
attire	0.484
attitude	0.52
attorney	0.2
attract	0.574
attraction	0.75
attractive	0.681
attractiveness	0.876
attributable	0.408
attribute	0.562
attribution	0.292
attrition	-0.542
auburn	0.02
auction	0.188
auctioneer	0.084
audacious	0.48
audacity	0.52
audible	0.346
audience	0.396
audio	0.418
audit	-0.25
audition	0.5
auditions	0.48
auditor	0.164
auditorium	0.058
auditory	0.062
aught	-0.164
augment	0.125
augmentation	0.428
augmented	-0.109
august	0.304
aunt	0.334
auntie	0.286
aura	0.52
aurora	0.634
auspices	0.084
auspicious	0.124
austere	0.0
austerity	-0.124
authentic	0.486
authenticate	0.666
authentication	0.448
authenticity	0.292
author	0.313
authoritative	0.272
authority	0.184
authorization	0.042
authorize	0.544
authorized	0.52
authorship	0.334
autism	-0.53
autistic	-0.266
auto	0.142
autobiographical	0.818
autobiography	0.47
autocorrect	0.102
autocratic	0.084
autograph	0.47
autographed	0.562
automated	0.156
automatic	0.124
automobile	0.506
automotive	0.312
autonomy	0.562
autopilot	0.188
autopsy	-0.496
autumn	0.53
auxiliary	0.244
avail	0.6
availability	0.278
available	0.688
avalanche	-0.47
avarice	-0.604
avatar	0.266
avenge	-0.375
avenger	-0.326
avenging	-0.714
avenue	0.354
aver	-0.016
average	0.368
aversation	0.164
averse	-0.494
averseness	-0.408
aversion	-0.852
avert	0.02
averted	0.016
aviary	0.0
aviation	0.416
aviator	0.23
avid	0.164
avocado	0.354
avoid	-0.208
avoidance	-0.349
avoiding	-0.086
await	-0.104
awake	0.334
awaken	0.458
awakening	0.49
award	0.569
awards	0.916
aware	0.312
awareness	0.413
away	-0.172
awe	-0.062
awed	-0.272
awesome	0.844
awesomeness	0.834
awestruck	0.23
awful	-0.861
awfully	-0.719
awkward	-0.403
awkwardness	-0.666
awning	0.0
awry	-0.688
axe	-0.408
