0.9858694846	28517 931 5973
0.9858125365	141 142
0.9856595080	1117 2317
0.9856394974	4392 1098
0.9855905033	13611 1567
0.9855883738	4848 27926
0.9855682770	561 1692
0.9855551989	1112 9158
0.9855372849	763 1383
0.9854879155	1666 629
0.9852625365	3031 14279
0.9852400197	411 16251
0.9851506534	7259 2250
0.9851353745	1767 4708
0.9850681544	2005 389 18467
0.9850491049	956 9393
0.9850184170	402 956 1218
0.9850082398	3869 1383
0.9849601684	144 195
0.9849005194	2001 195
0.9848874252	1257 153
0.9848227072	633 729
0.9846898456	11865 1098
0.9846584102	3460 1098
0.9846345846	16373 389 1701
0.9845586293	9452 5194 8538
0.9845549978	623 2337
0.9845241147	4148 1298
0.9843898290	3893 7821
0.9843545271	653 5048
0.9843007590	4677 16172
0.9842424284	11839 11623
0.9842217784	726 452
0.9841955975	15106 15106
0.9841629746	656 5653
0.9840642691	402 403
0.9840394898	373 2021
0.9840304557	726 15504
0.9839454011	2775 2166
0.9839122849	373 1866
0.9838898456	1690 13359
0.9838157773	20643 24535
0.9837869267	633 9432
0.9837160711	3072 6756 4505
0.9835850837	4574 4575
0.9834837704	4059 6085
0.9833512787	633 1677
0.9831233276	373 153
0.9830929008	191 193
0.9830583654	352 795
0.9828796684	1445 1253
0.9828488703	26250 26251
0.9828442877	653 4533
0.9827750142	931 1989 318
0.9826499708	449 11591
0.9825233102	1688 561 1692
0.9824515726	246 1053
0.9824479562	2807 7889
0.9823931669	2230 6684
0.9822470361	2262 629
0.9821970655	6387 1490
0.9821751620	604 629 1128
0.9821621680	16393 17099
0.9821602160	633 9377
0.9821512787	403 9358
0.9821166002	966 10667 726 452
0.9820642691	27 1237
0.9818869816	3996 1098
0.9818690868	411 6688
0.9818582139	195 1238
0.9818074190	150 4910
0.9817119189	3940 10707
0.9816778358	5194 1104
0.9815458388	2667 2668
0.9815140622	11509 2350
0.9814454011	1031 351
0.9814392065	4073 12545
0.9814016490	561 7259 25686
0.9813751620	1688 561 7259
0.9813534456	159 1257
0.9813292258	8876 4507
0.9813194536	956 3866
0.9812340792	73 74
0.9811845955	709 1697
0.9811514254	2803 5301
0.9811302334	6786 685
0.9810906992	4707 4708
0.9810892520	4103 2199
0.9810788657	3027 674
0.9809085646	4589 1212
0.9808690868	31857 47655
0.9808583650	5060 1681
0.9808424923	27 30
0.9808131777	633 9358
0.9807743580	14193 1104
0.9807490496	726 847
0.9806949519	144 10301
0.9806772905	794 2028
0.9806022474	629 351
0.9805697748	1389 4987
0.9804435493	4001 13345
0.9804213905	956 153
0.9803902992	5578 4835
0.9803855292	6 8845
0.9802615832	411 27091
0.9802342870	21845 11590
0.9801768671	242 26761
0.9801066864	25627 15770
0.9801059355	4248 1061
0.9800877304	10699 153
0.9800110953	13389 1549
